Feature set,Model,F1 mean,F1 SD,AUC mean,AUC SD,Train AUC,Rank by F1
Profile only,Dummy Baseline,0.0,0.0,0.5,0.0,0.5,5
Profile only,Logistic Regression,0.5779638270169503,0.006815675902444317,0.6571522100396248,0.003948307356300452,0.6602469963461131,1
Profile only,Decision Tree,0.5527831000670514,0.01889578750524343,0.629393671707359,0.0027874030251414696,0.6588948833348639,4
Profile only,Random Forest,0.5722103770222695,0.005715880799692604,0.6547880120419582,0.005686773512510726,0.7238417617966207,3
Profile only,Gradient Boosting,0.5768562222335266,0.006407113391108223,0.6559343201616148,0.00513274730071333,0.7025585800704831,2
Engagement only,Dummy Baseline,0.0,0.0,0.5,0.0,0.5,5
Engagement only,Logistic Regression,0.6074462943160546,0.004181627156514201,0.670935304058476,0.00608978104068472,0.6710368133023337,1
Engagement only,Decision Tree,0.583804763390898,0.009427634037138024,0.6533884915129272,0.0068570980331087335,0.6932407987589894,3
Engagement only,Random Forest,0.5829805135355268,0.005602110672856197,0.6621910451446478,0.004742513145675218,0.7917635278339474,4
Engagement only,Gradient Boosting,0.5952384701605553,0.006088852445821935,0.6667191500215136,0.006138025109612547,0.7056616630372329,2
Profile + engagement,Dummy Baseline,0.0,0.0,0.5,0.0,0.5,5
Profile + engagement,Logistic Regression,0.6495217081762528,0.00717409213087026,0.7434034172087535,0.004822333930827614,0.745422855037132,1
Profile + engagement,Decision Tree,0.6153264907463095,0.010548266297035435,0.7153851804438808,0.0057864887408564806,0.7508138781589662,4
Profile + engagement,Random Forest,0.633383648510112,0.00922101159899458,0.740097422912681,0.004911154570049498,0.8250387809770536,3
Profile + engagement,Gradient Boosting,0.6354688863733111,0.008244703509055488,0.743072303751813,0.0041729755704956436,0.7937965639802009,2
