Train fraction,Train rows,Model,F1,ROC-AUC
0.05,1101,Logistic Regression,0.6303641630620752,0.7203200044776065
0.05,1101,Gradient Boosting,0.5733305586132325,0.6774380105737999
0.05,1101,Random Forest,0.5931783258493519,0.7129090489315307
0.1,2203,Logistic Regression,0.638283605751897,0.7313521261790203
0.1,2203,Gradient Boosting,0.5932698398290105,0.6957291085548173
0.1,2203,Random Forest,0.6083238207356673,0.7214606622356722
0.25,5507,Logistic Regression,0.6475189670708253,0.7403221336578886
0.25,5507,Gradient Boosting,0.6230111450995194,0.7228091579350444
0.25,5507,Random Forest,0.6215790585615232,0.7317856269279543
0.5,11015,Logistic Regression,0.6494042306074682,0.7419167016368263
0.5,11015,Gradient Boosting,0.6336323494098034,0.7374116003606149
0.5,11015,Random Forest,0.6258899249220704,0.7365553383447053
1.0,22030,Logistic Regression,0.6495930117133214,0.7440418267618176
1.0,22030,Gradient Boosting,0.6435318275154004,0.7437723816262882
1.0,22030,Random Forest,0.6298551333193365,0.7391871352948796
