Feature,Importance,SD
active_days_wk1_4,0.10641190824436357,0.0026032349366340206
code_module,0.05400586542162193,0.004585479979194013
unique_sites_wk1_4,0.03771968990765908,0.0037427669783993674
highest_education,0.022156710160469474,0.0035040177467596393
imd_band,0.010755771078786048,0.0020993275121195133
total_clicks_wk1_4,0.006137693994116233,0.0033644836404545238
code_presentation,0.005657835075245754,0.00237780682275306
interaction_records_wk1_4,0.005471297102378569,0.0020093899303469894
region,0.0036135366722945816,0.0025346120787222235
disability,0.002790948558915529,0.0013685470942953653
num_of_prev_attempts,0.0014144572982787373,0.0005843703572384429
studied_credits,0.0009446022855682079,0.00284361462887581
gender,-0.0009797797777963747,0.0011376670124808575
age_band,-0.0022254584625199135,0.0010350316537088313
